,site_id,site_name,geometry
2592,4530,SWANSTON NR YARRA RIVER,POINT (144.967962935322 -37.8185678370505)
790,4159,CITY NR FANNING,POINT (144.966733935078 -37.8214178371281)
245,4536,ST KILDA/PARK/DOMAIN,POINT (144.971928933146 -37.8324288373127)
544,4576,COLLINS/EXHIBITION,POINT (144.971478935135 -37.8140338370433)
754,4569,RUSSELL/FLINDERS LANE,POINT (144.969459935882 -37.8157438366466)
830,3416,STURT NR GRANT,POINT (144.966723934443 -37.8256038371384)
2446,3396,PUNT/DOMAIN,POINT (144.987268930362 -37.8347488383412)
1179,4923,SOUTHBANK/KAVANAGH,POINT (144.966039934924 -37.8233778365703)
4362,4450,MACARTHUR NR ST ANDREWS,POINT (144.974838935028 -37.8117768377314)
1399,4447,ALBERT/CLARENDON,POINT (144.983559933633 -37.8103988381826)
4645,1707,Bridge Road near Waltham Street,POINT (144.996971930786 -37.8183338390119)
1400,4448,ALBERT/POWLETT,POINT (144.986164933489 -37.810690837954)
1176,4920,CITY/SOUTHGATE,POINT (144.965824935744 -37.8218268363195)
2621,4808,CHURCH/SWAN,POINT (144.997933928758 -37.8256728385784)
2637,4825,HIGHETT/LENNOX,POINT (144.995074930518 -37.8153448390995)
2862,4440,ALBERT NR EADES,POINT (144.980941934475 -37.8101118380014)
4351,3471,St Kilda Road near Bowen Crescent,POINT (144.974758932457 -37.8348678376424)
2640,4829,CHURCH NR BROUGHAM,POINT (144.998563929053 -37.8221118385568)
4403,4887,POWER/STURT,POINT (144.96619393428 -37.827322836865)
1401,4449,ALBERT/SIMPSON,POINT (144.988773932757 -37.8109838383893)
545,4577,RUSSELL/COLLINS,POINT (144.969007935284 -37.8147568367263)
553,4586,EXHIBITION/LITTLE COLLINS,POINT (144.971019935657 -37.8130448366992)
30,4489,WESTGATE FWY/POWER,POINT (144.965831934972 -37.826744836872)
2941,4152,CHURCH NR GIBBONS,POINT (144.997361929054 -37.8288738390484)
4828,3756,WGF/KINGS WAY IB,POINT (144.965356934521 -37.8262598366989)
4399,4446,ALBERT/LANSDOWNE,POINT (144.978337934116 -37.8098168372226)
755,4570,SWANSTON/FLINDERS LANE,POINT (144.966994936025 -37.8164718370236)
727,4593,SPRING/BOURKE,POINT (144.973051934654 -37.8113468375872)
